Trip_ID,From,To,Distance_KM,Bus_Type,Seats,Fuel_Price,Fuel_Average_KM_L,Fuel_Consumed_Liters,Fuel_Cost_Complete_Trip,Toll_Plaza,Police_Challan,Maintenance,Other_Expense,Driver_Helper_Fee,Total_Trip_Cost,Booking_Price,Profit
TRP00042,Wah Cantt,Narowal,569,Non-AC,72,281.51,4.0,142.25,40044.8,1991.5,0,1138.0,1500,6204.76,44674.3,62047.64,17373.34
TRP00043,Mandi Bahauddin,Sargodha,120,Non-AC,72,314.9,4.0,30.0,9447.0,420.0,0,240.0,1500,1612.08,11607.0,16120.83,4513.83
TRP00044,Jhelum,Mandi Bahauddin,280,Non-AC,72,297.4,4.0,70.0,20818.0,980.0,0,560.0,1500,3313.61,23858.0,33136.11,9278.11
TRP00045,Chowk Munda,Bahawalnagar,112,Non-AC,72,263.81,4.0,28.0,7386.68,392.0,0,224.0,1500,1319.82,9502.68,13198.17,3695.49
TRP00046,Jhang,Pakpattan,486,Non-AC,72,300.13,4.0,121.5,36465.79,1701.0,0,972.0,1500,5644.28,40638.79,56442.76,15803.97
TRP00047,Bhakkar,Lodhran,178,Non-AC,72,295.48,4.0,44.5,13148.86,623.0,0,356.0,1500,2170.54,15627.86,21705.36,6077.5
TRP00048,Kasur,Gujrat,541,Non-AC,72,310.93,4.0,135.25,42053.28,1893.5,0,1082.0,1500,6462.33,46528.78,64623.31,18094.53
TRP00049,Kot Addu,Kasur,84,Non-AC,72,293.68,4.0,21.0,6167.28,294.0,0,168.0,1500,1129.07,8129.28,11290.67,3161.39
TRP00050,Gujranwala,Chakwal,477,Non-AC,72,289.63,4.0,119.25,34538.38,1669.5,0,954.0,1500,5369.71,38661.88,53697.06,15035.18
TRP00051,Sheikhupura,Sargodha,472,Non-AC,72,302.64,4.0,118.0,35711.52,1652.0,0,944.0,1500,5528.82,39807.52,55288.22,15480.7
TRP00052,Khushab,Chowk Munda,540,Non-AC,72,272.1,4.0,135.0,36733.5,1890.0,0,1080.0,1500,5722.71,41203.5,57227.08,16023.58
TRP00053,Gujrat,Jhang,320,Non-AC,72,278.86,4.0,80.0,22308.8,1120.0,0,640.0,1500,3551.22,25568.8,35512.22,9943.42
TRP00054,Chiniot,Okara,175,Non-AC,72,301.73,4.0,43.75,13200.69,612.5,0,350.0,1500,2175.44,15663.19,21754.43,6091.24
TRP00055,Khushab,Gujranwala,564,Non-AC,72,274.96,4.0,141.0,38769.36,1974.0,0,1128.0,1500,6023.8,43371.36,60238.0,16866.64
TRP00056,Nankana Sahib,Jhelum,250,Non-AC,72,272.18,4.0,62.5,17011.25,875.0,0,500.0,1500,2761.98,19886.25,27619.79,7733.54
TRP00057,Mandi Bahauddin,Bahawalpur,239,Non-AC,72,295.93,4.0,59.75,17681.82,836.5,0,478.0,1500,2846.71,20496.32,28467.11,7970.79
TRP00058,Rangpur,Narowal,322,Non-AC,72,269.67,4.0,80.5,21708.44,1127.0,0,644.0,1500,3469.37,24979.44,34693.67,9714.23
TRP00059,Bahawalpur,Rahim Yar Khan,107,Non-AC,72,273.11,4.0,26.75,7305.69,374.5,0,214.0,1500,1304.75,9394.19,13047.49,3653.3
TRP00060,Toba Tek Singh,Rahim Yar Khan,419,Non-AC,72,313.55,4.0,104.75,32844.36,1466.5,0,838.0,1500,5090.12,36648.86,50901.19,14252.33
TRP00061,Kasur,Layyah,410,Non-AC,72,279.46,4.0,102.5,28644.65,1435.0,0,820.0,1500,4499.95,32399.65,44999.51,12599.86
TRP00062,Chiniot,Khanewal,427,Non-AC,72,281.38,4.0,106.75,30037.31,1494.5,0,854.0,1500,4706.36,33885.81,47063.62,13177.81
TRP00063,Multan,Toba Tek Singh,269,Non-AC,72,266.6,4.0,67.25,17928.85,941.5,0,538.0,1500,2903.94,20908.35,29039.37,8131.02
TRP00064,Gujrat,Narowal,456,Non-AC,72,298.86,4.0,114.0,34070.04,1596.0,0,912.0,1500,5288.62,38078.04,52886.17,14808.13
TRP00065,Gujranwala,Bahawalpur,338,Non-AC,72,260.42,4.0,84.5,22005.49,1183.0,0,676.0,1500,3522.85,25364.49,35228.46,9863.97
TRP00066,Rawalpindi,Nankana Sahib,535,Non-AC,72,292.05,4.0,133.75,39061.69,1872.5,0,1070.0,1500,6042.25,43504.19,60422.49,16918.3
TRP00067,Gujrat,Sheikhupura,397,Non-AC,72,273.33,4.0,99.25,27128.0,1389.5,0,794.0,1500,4279.38,30811.5,42793.75,11982.25
TRP00068,Pakpattan,Sialkot,313,Non-AC,72,280.26,4.0,78.25,21930.34,1095.5,0,626.0,1500,3493.31,25151.84,34933.11,9781.27
TRP00069,Sargodha,Mandi Bahauddin,453,Non-AC,72,273.13,4.0,113.25,30931.97,1585.5,0,906.0,1500,4850.48,34923.47,48504.82,13581.35
TRP00070,Wah Cantt,Kot Addu,551,Non-AC,72,302.18,4.0,137.75,41625.29,1928.5,0,1102.0,1500,6410.53,46155.79,64105.26,17949.47
TRP00071,Lahore,Sahiwal,192,Non-AC,72,263.89,4.0,48.0,12666.72,672.0,0,384.0,1500,2114.27,15222.72,21142.67,5919.95
TRP00072,Nankana Sahib,Vehari,521,Non-AC,72,317.75,4.0,130.25,41386.94,1823.5,0,1042.0,1500,6354.51,45752.44,63545.06,17792.62
TRP00073,Wah Cantt,Layyah,589,Non-AC,72,301.78,4.0,147.25,44437.1,2061.5,0,1178.0,1500,6830.08,49176.6,68300.83,19124.23
TRP00074,Kasur,Lodhran,466,Non-AC,72,278.05,4.0,116.5,32392.83,1631.0,0,932.0,1500,5063.31,36455.83,50633.1,14177.27
TRP00075,Chiniot,Gujrat,160,Non-AC,72,276.01,4.0,40.0,11040.4,560.0,0,320.0,1500,1863.94,13420.4,18639.44,5219.04
TRP00076,Rawalpindi,Lodhran,81,Non-AC,72,290.16,4.0,20.25,5875.74,283.5,0,162.0,1500,1086.28,7821.24,10862.83,3041.59
TRP00077,Khanewal,Pakpattan,304,Non-AC,72,298.06,4.0,76.0,22652.56,1064.0,0,608.0,1500,3586.74,25824.56,35867.44,10042.88
TRP00078,Bhakkar,Faisalabad,209,Non-AC,72,291.86,4.0,52.25,15249.69,731.5,0,418.0,1500,2486.0,17899.19,24859.99,6960.8
TRP00079,Layyah,Bahawalnagar,495,Non-AC,72,295.56,4.0,123.75,36575.55,1732.5,0,990.0,1500,5666.4,40798.05,56663.96,15865.91
TRP00080,Sahiwal,Rawalpindi,518,Non-AC,72,305.7,4.0,129.5,39588.15,1813.0,0,1036.0,1500,6102.38,43937.15,61023.82,17086.67
TRP00081,Bahawalnagar,Toba Tek Singh,202,Non-AC,72,274.53,4.0,50.5,13863.76,707.0,0,404.0,1500,2288.16,16474.76,22881.61,6406.85
TRP00082,Toba Tek Singh,Jhelum,373,Non-AC,72,282.07,4.0,93.25,26303.03,1305.5,0,746.0,1500,4146.46,29854.53,41464.62,11610.09
TRP00083,Bhakkar,Chowk Munda,277,Non-AC,72,283.93,4.0,69.25,19662.15,969.5,0,554.0,1500,3150.78,22685.65,31507.85,8822.2
TRP00084,Mandi Bahauddin,Jhang,590,Non-AC,72,265.42,4.0,147.5,39149.45,2065.0,0,1180.0,1500,6096.45,43894.45,60964.51,17070.06
TRP00085,Dera Ghazi Khan,Faisalabad,280,Non-AC,72,279.25,4.0,70.0,19547.5,980.0,0,560.0,1500,3137.15,22587.5,31371.53,8784.03
TRP00086,Rahim Yar Khan,Lahore,405,Non-AC,72,301.75,4.0,101.25,30552.19,1417.5,0,810.0,1500,4761.07,34279.69,47610.68,13330.99
TRP00087,Muzaffargarh,Toba Tek Singh,482,Non-AC,72,302.67,4.0,120.5,36471.74,1687.0,0,964.0,1500,5642.05,40622.74,56420.47,15797.73
TRP00088,Lodhran,Khanewal,590,Non-AC,72,273.59,4.0,147.5,40354.52,2065.0,0,1180.0,1500,6263.82,45099.52,62638.22,17538.7
TRP00089,Toba Tek Singh,Dera Ghazi Khan,568,Non-AC,72,301.46,4.0,142.0,42807.32,1988.0,0,1136.0,1500,6587.68,47431.32,65876.83,18445.51
TRP00090,Hafizabad,Gujrat,417,Non-AC,72,310.26,4.0,104.25,32344.6,1459.5,0,834.0,1500,5019.18,36138.1,50191.81,14053.71
TRP00091,Faisalabad,Mianwali,552,Non-AC,72,272.54,4.0,138.0,37610.52,1932.0,0,1104.0,1500,5853.68,42146.52,58536.83,16390.31
TRP00092,Rangpur,Sahiwal,494,Non-AC,72,312.64,4.0,123.5,38611.04,1729.0,0,988.0,1500,5948.34,42828.04,59483.39,16655.35
TRP00093,Gujranwala,Toba Tek Singh,342,Non-AC,72,299.6,4.0,85.5,25615.8,1197.0,0,684.0,1500,4027.33,28996.8,40273.33,11276.53
TRP00094,Khanewal,Wah Cantt,425,Non-AC,72,318.93,4.0,106.25,33886.31,1487.5,0,850.0,1500,5239.42,37723.81,52394.18,14670.37
TRP00095,Sargodha,Muzaffargarh,81,Non-AC,72,319.78,4.0,20.25,6475.54,283.5,0,162.0,1500,1169.59,8421.04,11695.89,3274.85
TRP00096,Chiniot,Dera Ghazi Khan,333,Non-AC,72,313.83,4.0,83.25,26126.35,1165.5,0,666.0,1500,4091.37,29457.85,40913.68,11455.83
TRP00097,Nankana Sahib,Multan,116,Non-AC,72,312.96,4.0,29.0,9075.84,406.0,0,232.0,1500,1557.48,11213.84,15574.78,4360.94
TRP00098,Jhelum,Multan,88,Non-AC,72,276.73,4.0,22.0,6088.06,308.0,0,176.0,1500,1121.12,8072.06,11211.19,3139.13
TRP00099,Bahawalpur,Rangpur,287,Non-AC,72,313.83,4.0,71.75,22517.3,1004.5,0,574.0,1500,3554.97,25595.8,35549.72,9953.92
TRP00100,Chakwal,Sahiwal,231,Non-AC,72,284.27,4.0,57.75,16416.59,808.5,0,462.0,1500,2664.87,19187.09,26648.74,7461.65
TRP00101,Lahore,Kasur,499,Non-AC,72,313.91,4.0,124.75,39160.27,1746.5,0,998.0,1500,6028.44,43404.77,60284.4,16879.63
TRP00102,Rahim Yar Khan,Vehari,333,Non-AC,72,260.55,4.0,83.25,21690.79,1165.5,0,666.0,1500,3475.32,25022.29,34753.18,9730.89
TRP00103,Hafizabad,Kot Addu,589,Non-AC,72,316.41,4.0,147.25,46591.37,2061.5,0,1178.0,1500,7129.29,51330.87,71292.88,19962.01
TRP00104,Rajanpur,Rawalpindi,232,Non-AC,72,260.3,4.0,58.0,15097.4,812.0,0,464.0,1500,2482.42,17873.4,24824.17,6950.77
TRP00105,Layyah,Sahiwal,417,Non-AC,72,289.14,4.0,104.25,30142.84,1459.5,0,834.0,1500,4713.38,33936.34,47133.81,13197.47
TRP00106,Jhang,Bahawalpur,242,Non-AC,72,299.12,4.0,60.5,18096.76,847.0,0,484.0,1500,2906.63,20927.76,29066.33,8138.57
TRP00107,Chowk Munda,Rangpur,240,Non-AC,72,261.08,4.0,60.0,15664.8,840.0,0,480.0,1500,2567.33,18484.8,25673.33,7188.53
TRP00108,Hafizabad,Chiniot,477,Non-AC,72,279.52,4.0,119.25,33332.76,1669.5,0,954.0,1500,5202.26,37456.26,52022.58,14566.32
TRP00109,Jhang,Rajanpur,583,Non-AC,72,298.98,4.0,145.75,43576.33,2040.5,0,1166.0,1500,6705.95,48282.83,67059.49,18776.66
TRP00110,Rawalpindi,Pakpattan,214,Non-AC,72,303.26,4.0,53.5,16224.41,749.0,0,428.0,1500,2625.2,18901.41,26251.96,7350.55
TRP00111,Okara,Chowk Munda,112,Non-AC,72,292.55,4.0,28.0,8191.4,392.0,0,224.0,1500,1431.58,10307.4,14315.83,4008.43
TRP00112,Pakpattan,Attock,549,Non-AC,72,275.91,4.0,137.25,37868.65,1921.5,0,1098.0,1500,5887.24,42388.15,58872.43,16484.28
TRP00113,Rahim Yar Khan,Attock,117,Non-AC,72,318.73,4.0,29.25,9322.85,409.5,0,234.0,1500,1592.55,11466.35,15925.49,4459.14
TRP00114,Pakpattan,Sialkot,517,Non-AC,72,314.37,4.0,129.25,40632.32,1809.5,0,1034.0,1500,6246.64,44975.82,62466.42,17490.6
TRP00115,Wah Cantt,Layyah,106,Non-AC,72,307.69,4.0,26.5,8153.78,371.0,0,212.0,1500,1421.78,10236.78,14217.75,3980.97
TRP00116,Bahawalnagar,Jhang,363,Non-AC,72,300.14,4.0,90.75,27237.7,1270.5,0,726.0,1500,4268.64,30734.2,42686.39,11952.19
TRP00117,Narowal,Jhang,560,Non-AC,72,271.71,4.0,140.0,38039.4,1960.0,0,1120.0,1500,5919.36,42619.4,59193.61,16574.21
TRP00118,Kot Addu,Chiniot,595,Non-AC,72,261.46,4.0,148.75,38892.17,2082.5,0,1190.0,1500,6064.54,43664.67,60645.37,16980.7
TRP00119,Okara,Chiniot,128,Non-AC,72,262.62,4.0,32.0,8403.84,448.0,0,256.0,1500,1473.31,10607.84,14733.11,4125.27
TRP00120,Sahiwal,Lodhran,251,Non-AC,72,316.43,4.0,62.75,19855.98,878.5,0,502.0,1500,3157.84,22736.48,31578.44,8841.96
TRP00121,Kasur,Lahore,556,Non-AC,72,276.77,4.0,139.0,38471.03,1946.0,0,1112.0,1500,5976.25,43029.03,59762.54,16733.51
TRP00122,Gujranwala,Narowal,597,Non-AC,72,282.21,4.0,149.25,42119.84,2089.5,0,1194.0,1500,6514.35,46903.34,65143.53,18240.19
TRP00123,Hafizabad,Bahawalnagar,116,Non-AC,72,315.7,4.0,29.0,9155.3,406.0,0,232.0,1500,1568.51,11293.3,15685.14,4391.84
TRP00124,Toba Tek Singh,Khushab,576,Non-AC,72,293.17,4.0,144.0,42216.48,2016.0,0,1152.0,1500,6511.73,46884.48,65117.33,18232.85
TRP00125,Toba Tek Singh,Vehari,178,Non-AC,72,318.82,4.0,44.5,14187.49,623.0,0,356.0,1500,2314.79,16666.49,23147.9,6481.41
TRP00126,Lahore,Bahawalpur,420,Non-AC,72,264.52,4.0,105.0,27774.6,1470.0,0,840.0,1500,4386.75,31584.6,43867.5,12282.9
TRP00127,Rahim Yar Khan,Attock,332,Non-AC,72,283.11,4.0,83.0,23498.13,1162.0,0,664.0,1500,3725.57,26824.13,37255.74,10431.61
TRP00128,Jhelum,Attock,240,Non-AC,72,279.02,4.0,60.0,16741.2,840.0,0,480.0,1500,2716.83,19561.2,27168.33,7607.13
TRP00129,Hafizabad,Layyah,207,Non-AC,72,282.36,4.0,51.75,14612.13,724.5,0,414.0,1500,2395.92,17250.63,23959.21,6708.58
TRP00130,Sargodha,Bahawalpur,402,Non-AC,72,294.2,4.0,100.5,29567.1,1407.0,0,804.0,1500,4621.96,33278.1,46219.58,12941.48
TRP00131,Muzaffargarh,Rangpur,367,Non-AC,72,300.27,4.0,91.75,27549.77,1284.5,0,734.0,1500,4315.04,31068.27,43150.38,12082.11
TRP00132,Nankana Sahib,Attock,234,Non-AC,72,277.72,4.0,58.5,16246.62,819.0,0,468.0,1500,2643.56,19033.62,26435.58,7401.96
TRP00133,Bhakkar,Rajanpur,183,Non-AC,72,301.82,4.0,45.75,13808.26,640.5,0,366.0,1500,2265.94,16314.76,22659.39,6344.63
TRP00134,Vehari,Narowal,325,Non-AC,72,281.57,4.0,81.25,22877.56,1137.5,0,650.0,1500,3634.04,26165.06,36340.36,10175.3
TRP00135,Vehari,Toba Tek Singh,556,Non-AC,72,277.79,4.0,139.0,38612.81,1946.0,0,1112.0,1500,5995.95,43170.81,59959.46,16788.65
TRP00136,Jhang,Multan,487,Non-AC,72,314.79,4.0,121.75,38325.68,1704.5,0,974.0,1500,5903.36,42504.18,59033.58,16529.4
TRP00137,Gujrat,Faisalabad,585,Non-AC,72,260.31,4.0,146.25,38070.34,2047.5,0,1170.0,1500,5942.76,42787.84,59427.56,16639.72
TRP00138,Okara,Lahore,115,Non-AC,72,307.9,4.0,28.75,8852.12,402.5,0,230.0,1500,1525.64,10984.62,15256.42,4271.8
TRP00139,Chakwal,Lahore,400,Non-AC,72,264.26,4.0,100.0,26426.0,1400.0,0,800.0,1500,4184.17,30126.0,41841.67,11715.67
TRP00140,Toba Tek Singh,Gujranwala,479,Non-AC,72,263.05,4.0,119.75,31500.24,1676.5,0,958.0,1500,4949.27,35634.74,49492.69,13857.95
TRP00141,Sahiwal,Khushab,550,Non-AC,72,261.66,4.0,137.5,35978.25,1925.0,0,1100.0,1500,5625.45,40503.25,56254.51,15751.26
TRP00142,Dera Ghazi Khan,Toba Tek Singh,433,Non-AC,72,265.64,4.0,108.25,28755.53,1515.5,0,866.0,1500,4532.92,32637.03,45329.21,12692.18
TRP00143,Rajanpur,Kasur,130,Non-AC,72,287.94,4.0,32.5,9358.05,455.0,0,260.0,1500,1607.37,11573.05,16073.68,4500.63
TRP00144,Dera Ghazi Khan,Jhang,269,Non-AC,72,277.19,4.0,67.25,18641.03,941.5,0,538.0,1500,3002.85,21620.53,30028.51,8407.98
TRP00145,Sialkot,Gujranwala,60,Non-AC,72,295.45,4.0,15.0,4431.75,210.0,0,120.0,1500,869.69,6261.75,8696.88,2435.13
TRP00146,Wah Cantt,Jhang,421,Non-AC,72,275.02,4.0,105.25,28945.85,1473.5,0,842.0,1500,4550.19,32761.35,45501.88,12740.53
TRP00147,Gujranwala,Dera Ghazi Khan,133,Non-AC,72,292.22,4.0,33.25,9716.32,465.5,0,266.0,1500,1659.42,11947.82,16594.19,4646.37
TRP00148,Sialkot,Dera Ghazi Khan,343,Non-AC,72,306.2,4.0,85.75,26256.65,1200.5,0,686.0,1500,4117.1,29643.15,41171.04,11527.89
TRP00149,Rawalpindi,Sargodha,84,Non-AC,72,287.44,4.0,21.0,6036.24,294.0,0,168.0,1500,1110.87,7998.24,11108.67,3110.43
TRP00150,Chiniot,Faisalabad,429,Non-AC,72,292.44,4.0,107.25,31364.19,1501.5,0,858.0,1500,4892.18,35223.69,48921.79,13698.1
TRP00151,Bahawalpur,Sargodha,348,Non-AC,72,318.17,4.0,87.0,27680.79,1218.0,0,696.0,1500,4318.72,31094.79,43187.21,12092.42
TRP00152,Rawalpindi,Faisalabad,320,Non-AC,72,302.88,4.0,80.0,24230.4,1120.0,0,640.0,1500,3818.11,27490.4,38181.11,10690.71
TRP00153,Jhelum,Sargodha,199,Non-AC,72,276.25,4.0,49.75,13743.44,696.5,0,398.0,1500,2269.16,16337.94,22691.58,6353.64
TRP00154,Attock,Sheikhupura,137,Non-AC,72,264.71,4.0,34.25,9066.32,479.5,0,274.0,1500,1572.2,11319.82,15721.97,4402.15
TRP00155,Jhelum,Kot Addu,553,Non-AC,72,317.76,4.0,138.25,43930.32,1935.5,0,1106.0,1500,6732.2,48471.82,67321.97,18850.15
TRP00156,Rajanpur,Attock,206,Non-AC,72,301.76,4.0,51.5,15540.64,721.0,0,412.0,1500,2524.12,18173.64,25241.17,7067.53
TRP00157,Okara,Mandi Bahauddin,137,Non-AC,72,314.91,4.0,34.25,10785.67,479.5,0,274.0,1500,1811.0,13039.17,18109.96,5070.79
TRP00158,Khanewal,Mianwali,175,Non-AC,72,292.95,4.0,43.75,12816.56,612.5,0,350.0,1500,2122.09,15279.06,21220.92,5941.86
TRP00159,Wah Cantt,Khanewal,567,Non-AC,72,316.08,4.0,141.75,44804.34,1984.5,0,1134.0,1500,6864.28,49422.84,68642.83,19219.99
TRP00160,Mandi Bahauddin,Kot Addu,351,Non-AC,72,291.0,4.0,87.75,25535.25,1228.5,0,702.0,1500,4023.02,28965.75,40230.21,11264.46
TRP00161,Kasur,Chiniot,526,Non-AC,72,286.14,4.0,131.5,37627.41,1841.0,0,1052.0,1500,5836.17,42020.41,58361.68,16341.27
TRP00162,Rajanpur,Bahawalpur,326,Non-AC,72,262.86,4.0,81.5,21423.09,1141.0,0,652.0,1500,3432.79,24716.09,34327.9,9611.81
TRP00163,Nankana Sahib,Chakwal,233,Non-AC,72,281.36,4.0,58.25,16389.22,815.5,0,466.0,1500,2662.6,19170.72,26626.0,7455.28
TRP00164,Bahawalnagar,Kot Addu,165,Non-AC,72,260.86,4.0,41.25,10760.48,577.5,0,330.0,1500,1828.89,13167.98,18288.86,5120.88
TRP00165,Rajanpur,Nankana Sahib,299,Non-AC,72,262.76,4.0,74.75,19641.31,1046.5,0,598.0,1500,3164.7,22785.81,31646.96,8861.15
TRP00166,Pakpattan,Vehari,173,Non-AC,72,311.33,4.0,43.25,13465.02,605.5,0,346.0,1500,2210.63,15916.52,22106.28,6189.76
TRP00167,Gujranwala,Khushab,532,Non-AC,72,288.45,4.0,133.0,38363.85,1862.0,0,1064.0,1500,5943.03,42789.85,59430.35,16640.5
TRP00168,Multan,Layyah,297,Non-AC,72,305.8,4.0,74.25,22705.65,1039.5,0,594.0,1500,3588.77,25839.15,35887.71,10048.56
TRP00169,Jhang,Wah Cantt,420,Non-AC,72,288.41,4.0,105.0,30283.05,1470.0,0,840.0,1500,4735.15,34093.05,47351.46,13258.41
